Letter,Name of The Series,Thumbnail Image Link,Latest Episode,Release Date/Time
Special Charecter,3-gatsu no Lion 2nd Season,https://gogocdn.net/cover/3-gatsu-no-lion-2nd-season.png,3-gatsu no Lion 2nd Season Episode 22,31-03-2018 10:22
Special Charecter,3-gatsu no Lion 2nd Season (Dub),https://gogocdn.net/cover/3-gatsu-no-lion-2nd-season-dub.png,3-gatsu no Lion 2nd Season (Dub) Episode 22,08-06-2019 00:21
Special Charecter,3-Nen D-Gumi Glass no Kamen,https://gogocdn.net/cover/3-nen-d-gumi-glass-no-kamen.png,3-Nen D-Gumi Glass no Kamen Episode 13,26-12-2016 07:31
Special Charecter,30-sai no Hoken Taiiku,https://gogocdn.net/images/anime/A/30-sai-no-Hoken-Taiiku.jpg,30-sai no Hoken Taiiku Episode 12,31-12-2009 16:00
Special Charecter,3000 Leagues in Search of Mother,https://gogocdn.net/images/anime/A/3000-leagues-in-search-of-mother.jpg,3000 Leagues in Search of Mother Episode 52,05-02-2013 20:18
Special Charecter, 3D Kanojo: Real Girl,https://gogocdn.net/cover/3d-kanojo-real-girl.png, 3D Kanojo: Real Girl Episode 12,19-06-2018 04:23
Special Charecter,3D Kanojo: Real Girl (Dub),https://gogocdn.net/cover/3d-kanojo-real-girl-dub.png,3D Kanojo: Real Girl (Dub) Episode 12,14-02-2019 14:36
Special Charecter,3D Kanojo: Real Girl 2nd Season,https://gogocdn.net/cover/3d-kanojo-real-girl-2nd-season.png,3D Kanojo: Real Girl 2nd Season Episode 12,26-03-2019 03:40
Special Charecter,3D Kanojo: Real Girl 2nd Season (Dub),https://gogocdn.net/cover/3d-kanojo-real-girl-2nd-season-dub.png,3D Kanojo: Real Girl 2nd Season (Dub) Episode 12,06-05-2019 01:21
Special Charecter,3x3 Eyes (Dub),https://gogocdn.net/cover/3x3-eyes-dub.png,3x3 Eyes (Dub) Episode 4,09-06-2021 23:12
Special Charecter,3x3 Eyes: Seima Densetsu,https://gogocdn.net/cover/3x3-eyes-seima-densetsu.png,3x3 Eyes: Seima Densetsu Episode 3,09-06-2021 22:35
Special Charecter,3x3 Eyes: Seima Densetsu (Dub),https://gogocdn.net/cover/3x3-eyes-seima-densetsu-dub.png,3x3 Eyes: Seima Densetsu (Dub) Episode 3,09-06-2021 22:31
Special Charecter,5 Centimeters Per Second,https://gogocdn.net/images/anime/22319.jpg,5 Centimeters Per Second Episode 1,31-12-2009 16:00
Special Charecter,5 Centimeters per Second (Dub),https://gogocdn.net/cover/5-centimeters-per-second-dub.jpg,5 Centimeters per Second (Dub) Episode 1,10-08-2016 19:43
Special Charecter,5-toubun no Hanayome 2,https://gogocdn.net/cover/5-toubun-no-hanayome-2.png,5-toubun no Hanayome 2 Episode 12,25-03-2021 13:15
Special Charecter,5-toubun no Hanayome 2 (Dub),https://gogocdn.net/cover/5-toubun-no-hanayome-2-dub.png,5-toubun no Hanayome 2 (Dub) Episode 12,18-06-2021 04:26
Special Charecter,6 Angels,https://gogocdn.net/images/anime/65476.jpg,6 Angels Episode 6,31-12-2009 16:00
Special Charecter,6HP (Six Hearts Princess),https://gogocdn.net/cover/6hp-six-hearts-princess.png,6HP (Six Hearts Princess) Episode 2,10-11-2019 00:47
Special Charecter,7 Seeds,https://gogocdn.net/cover/7-seeds.png,7 Seeds Episode 12,28-06-2019 03:44
Special Charecter,7 Seeds (Dub),https://gogocdn.net/cover/7-seeds-dub.png,7 Seeds (Dub) Episode 12,30-06-2019 21:59
Special Charecter,"7 Seeds 2nd Season	",https://gogocdn.net/cover/7-seeds-2nd-season.png,"7 Seeds 2nd Season	 Episode 12",26-03-2020 19:57
Special Charecter,7 Seeds 2nd Season (Dub),https://gogocdn.net/cover/7-seeds-2nd-season-dub.png,7 Seeds 2nd Season (Dub) Episode 12,26-03-2020 20:05
Special Charecter,86,https://gogocdn.net/cover/86.png,86 Episode 11,19-06-2021 10:01
Special Charecter,86 (Dub),https://gogocdn.net/cover/86-dub.png,86 (Dub) Episode 5,12 hours ago
Special Charecter,86 2nd Season,https://gogocdn.net/cover/86-2nd-season.png,No Episodes Uploaded...,Not Released Yet...
Special Charecter,86 Special Edition: Senya ni Akaku Hinageshi no Saku,https://gogocdn.net/cover/86-special-edition-senya-ni-akaku-hinageshi-no-saku.png,86 Special Edition: Senya ni Akaku Hinageshi no Saku Episode 1,26-06-2021 09:52
Special Charecter,91 Days,https://gogocdn.net/cover/91-days.jpg,91 Days Episode 12,30-09-2016 11:42
Special Charecter,91 Days (Dub),https://gogocdn.net/cover/91-days-dub.png,91 Days (Dub) Episode 12,16-01-2017 12:40
Special Charecter,91 Days Special,https://gogocdn.net/cover/91-days-special.png,91 Days Special Episode 1,06-09-2017 00:38
Special Charecter,ēlDLIVE,https://gogocdn.net/cover/eldlive.png,ēlDLIVE Episode 12,26-03-2017 09:09
Special Charecter,ēlDLIVE (Dub),https://gogocdn.net/cover/eldlive-dub.png,ēlDLIVE (Dub) Episode 12,20-04-2017 19:11
A,A Channel,https://gogocdn.net/images/anime/a-channel8.jpg,A Channel Episode 12,31-12-2009 16:00
A,A Channel Ova ,https://gogocdn.net/images/anime/a-channel8.jpg, A Channel Ova  Episode 2,31-12-2009 16:00
A,A Channel Special ,https://gogocdn.net/images/anime/a-channel8.jpg,A Channel Special  Episode 11,31-12-2009 16:00
A,A Day Before Us,https://gogocdn.net/cover/a-day-before-us.png,A Day Before Us Episode 18,03-04-2021 14:09
A,A Letter to Momo (Dub),https://gogocdn.net/cover/a-letter-to-momo-dub.jpg,A Letter to Momo (Dub) Episode 1,10-08-2016 19:44
A,A Little Snow Fairy Sugar,https://gogocdn.net/images/anime/a-little-snow-fairy-sugar4.jpg,A Little Snow Fairy Sugar Episode 26,12-01-2015 18:59
A,A Little Snow Fairy Sugar (Dub),https://gogocdn.net/cover/a-little-snow-fairy-sugar-dub.jpg,A Little Snow Fairy Sugar (Dub) Episode 26,03-08-2016 21:53
A,A Starry Tale (Dub),https://gogocdn.net/cover/a-starry-tale-dub.jpg,A Starry Tale (Dub) Episode 1,10-08-2016 20:01
A,A Town Where You Live,https://gogocdn.net/images/anime/A-Town-Where-You-Live.jpg,A Town Where You Live Episode 12,31-12-2009 16:00
A,A Tree of Palme (Dub),https://gogocdn.net/cover/a-tree-of-palme-dub.jpg,A Tree of Palme (Dub) Episode 1,10-08-2016 20:03
A,A Useless Onmyoji Family,https://gogocdn.net/cover/a-useless-onmyoji-family.png,A Useless Onmyoji Family Episode 12,07-06-2020 14:13
A,A Wind Named Amnesia,https://gogocdn.net/images/anime/A/11114.jpg,A Wind Named Amnesia Episode 1,31-12-2009 16:00
A,A Wind Named Amnesia (Dub),https://gogocdn.net/cover/a-wind-named-amnesia-dub.jpg,A Wind Named Amnesia (Dub) Episode 1,10-08-2016 20:35
A,A-Channel: Nabe wo Tabeyou,https://gogocdn.net/cover/a-channel-nabe-wo-tabeyou.png,A-Channel: Nabe wo Tabeyou Episode 1,13-11-2019 22:18
A,A.D. Police (Dub),https://gogocdn.net/cover/a-d-police-dub.jpg,A.D. Police (Dub) Episode 15,10-08-2016 21:45
A,A.I.C.O.: Incarnation,https://gogocdn.net/cover/a-i-c-o-incarnation.png,A.I.C.O.: Incarnation Episode 12,09-03-2018 09:57
